Trade ID,Symbol,Entry Time,Exit Time,Side,Qty,Entry Price,Exit Price,P&L
127,NIFTY,15-Jan-2026 13:21:17 +0530,2026-01-15T13:29:17+05:30,SELL,75,23491.23,23499.14,-593.25
109,NIFTY,07-Jan-2026 11:05:00 +0530,2026-01-07T11:41:00+05:30,BUY,75,23975.77,23997.88,1658.25
128,NIFTY,2026-01-15T14:00:00+05:30,2026-01-15T09:18:00Z,SELL,75,23444.94,23401.2,3280.5
102,NIFTY,2026-01-05T07:56:42Z,05-Jan-2026 14:02:42 +0530,BUY,75,24079.42,24082.78,252.0
117,NIFTY,2026-01-12T04:05:00Z,12-Jan-2026 09:56:00 +0530,BUY,75,23864.73,23895.46,2304.75
131,NIFTY,2026-01-16T13:50:00+05:30,2026-01-16T09:10:00Z,BUY,75,23361.19,23371.91,804.0
123,NIFTY,2026-01-14T04:56:00Z,14-Jan-2026 10:43:00 +0530,BUY,75,23787.11,23773.79,-999.0
114,NIFTY,2026-01-09T05:04:42Z,09-Jan-2026 11:08:42 +0530,BUY,75,23903.46,23930.29,2012.25
122,NIFTY,2026-01-13T13:35:42+05:30,2026-01-13T08:58:42Z,SELL,75,23745.83,23703.57,3169.5
124,NIFTY,14-Jan-2026 13:09:00 +0530,2026-01-14T13:53:00+05:30,BUY,75,23802.02,23818.63,1245.75
110,NIFTY,2026-01-07T13:57:17+05:30,2026-01-07T08:36:17Z,BUY,75,23907.91,23913.58,425.25
104,NIFTY,2026-01-06T09:40:00+05:30,2026-01-06T04:47:00Z,SELL,75,24058.05,24088.15,-2257.5
118,NIFTY,12-Jan-2026 09:35:17 +0530,2026-01-12T10:38:17+05:30,SELL,75,23864.73,23917.44,-3953.25
103,NIFTY,05-Jan-2026 13:29:17 +0530,2026-01-05T14:03:17+05:30,BUY,75,24104.28,24087.14,-1285.5
111,NIFTY,2026-01-08T04:51:00Z,08-Jan-2026 11:07:00 +0530,SELL,75,23949.46,23981.83,-2427.75
999,NIFTY,,,BUY,75,24056.64,24066.64,750
113,NIFTY,2026-01-08T10:42:42+05:30,2026-01-08T06:01:42Z,SELL,75,23949.45,23996.39,-3520.5
129,NIFTY,2026-01-16T06:36:42Z,16-Jan-2026 12:18:42 +0530,BUY,75,23377.73,23396.28,1391.25
116,NIFTY,2026-01-09T13:26:00+05:30,2026-01-09T08:43:00Z,BUY,75,23891.18,23878.54,-948.0
130,NIFTY,16-Jan-2026 12:25:00 +0530,2026-01-16T13:34:00+05:30,SELL,75,23418.97,23393.66,1898.25
105,NIFTY,2026-01-06T05:39:42Z,06-Jan-2026 11:57:42 +0530,BUY,75,24127.28,24048.69,-5894.25
115,NIFTY,09-Jan-2026 12:52:00 +0530,2026-01-09T14:01:00+05:30,BUY,75,23902.2,23880.67,-1614.75
126,NIFTY,2026-01-15T06:23:17Z,15-Jan-2026 12:06:17 +0530,SELL,75,23533.74,23543.56,-736.5
125,NIFTY,2026-01-14T13:32:17+05:30,2026-01-14T08:38:17Z,BUY,75,23801.22,23785.99,-1142.25
112,NIFTY,08-Jan-2026 10:30:42 +0530,2026-01-08T10:44:42+05:30,SELL,75,23967.0,23968.45,-108.75
120,NIFTY,2026-01-13T04:15:00Z,13-Jan-2026 10:04:00 +0530,SELL,75,23768.56,23788.92,-1527.0
101,NIFTY,2026-01-05T10:35:00+05:30,2026-01-05T05:28:00Z,BUY,75,24056.64,24018.41,-2867.25
108,NIFTY,2026-01-07T04:53:42Z,07-Jan-2026 10:28:42 +0530,SELL,75,24024.71,24014.73,748.5
121,NIFTY,13-Jan-2026 11:12:00 +0530,2026-01-13T11:58:00+05:30,BUY,75,23727.56,23723.49,-305.25
119,NIFTY,2026-01-12T14:05:00+05:30,2026-01-12T08:46:00Z,BUY,75,23796.12,23813.57,1308.75
107,NIFTY,2026-01-07T10:23:42+05:30,2026-01-07T05:20:42Z,BUY,75,24024.71,23985.82,-2916.75
106,NIFTY,06-Jan-2026 11:45:17 +0530,2026-01-06T12:41:17+05:30,BUY,75,24059.49,24055.81,-276.0
